class_id,vertices,n_types,types,n_realizations,K,one_example_mu_to_lambda_per_type
10369,6,3,B2+B3+C3,6,2q^5 + 1q^6 + 2q^7 + 1q^8 + 1q^9,B2: (3 0) -> (6 2) ; B3: (4 3 0) -> (0 6 2) ; C3: (5 0 3) -> (0 2 6)
10370,6,2,B2+C3,2,0,B2: (3 0) -> (6 3) ; C3: (6 0 3) -> (0 3 6)
10371,6,2,B2+B3,3,2q^6 + 2q^7 + 3q^8 + 2q^9 + 2q^10 + 1q^11 + 1q^12,B2: (3 0) -> (6 4) ; B3: (5 3 0) -> (0 6 4)
10373,6,2,B2+B3,2,2q^7 + 2q^8 + 4q^9 + 3q^10 + 3q^11 + 2q^12 + 2q^13 + 1q^14 + 1q^15,B2: (3 0) -> (6 6) ; B3: (6 3 0) -> (0 6 6)
10374,5,2,B2+C3,22,0,B2: (10 1) -> (9 6) ; C3: (4 1 3) -> (0 6 2)
10375,6,2,B2+C3,3,0,B2: (3 1) -> (3 6) ; C3: (5 1 3) -> (0 6 3)
10376,6,2,B2+C3,2,0,B2: (3 1) -> (4 6) ; C3: (6 1 3) -> (0 6 4)
10378,5,2,B2+C3,10,0,B2: (3 1) -> (6 2) ; C3: (4 1 3) -> (0 2 6)
10379,6,3,B2+B3+C3,6,1q^4 + 2q^5 + 2q^6 + 2q^7 + 1q^8 + 1q^9,B2: (3 1) -> (6 3) ; B3: (4 3 1) -> (0 6 3) ; C3: (5 1 3) -> (0 3 6)
10380,6,2,B2+C3,2,0,B2: (3 1) -> (6 4) ; C3: (6 1 3) -> (0 4 6)
10381,6,2,B2+B3,3,1q^5 + 2q^6 + 3q^7 + 3q^8 + 2q^9 + 2q^10 + 1q^11 + 1q^12,B2: (3 1) -> (6 5) ; B3: (5 3 1) -> (0 6 5)
10383,5,3,B2+B3+C3,42,1q^2 + 1q^3 + 2q^4 + 1q^5 + 1q^6,B2: (10 2) -> (10 6) ; B3: (2 3 2) -> (0 3 6) ; C3: (4 2 3) -> (0 6 3)
